word	lemma	pos	freq
book	book	NN	5218
makes	make	VBZ	5167
based	base	VBN	5156
say	say	VBP	5151
show	show	NN	5097
president	president	NN	5082
times	time	NNS	5026
according	accord	VBG	5021
john	john	NNP	4992
levels	level	NNS	4988
already	already	RB	4988
almost	almost	RB	4984
came	come	VBD	4961
major	major	JJ	4939
kind	kind	NN	4921
need	need	VBP	4907
th	th	NN	4902
bad	bad	JJ	4871
water	water	NN	4861
seems	seem	VBZ	4860
recent	recent	JJ	4857
ago	ago	RB	4855
city	city	NN	4853
report	report	NN	4851
president	president	NNP	4840
making	make	VBG	4821
early	early	JJ	4812
less	less	JJR	4802
significant	significant	JJ	4792
enough	enough	RB	4767
market	market	NN	4751
others	other	NNS	4743
e	e	NNP	4733
real	real	JJ	4732
effect	effect	NN	4720
her	her	PRP	4710
oh	oh	UH	4689
someone	someone	NN	4653
went	go	VBD	4627
fig	fig	NNP	4626
anything	anything	NN	4601
done	do	VBN	4579
words	word	NNS	4576
maybe	maybe	RB	4565
help	help	VB	4558
level	level	NN	4544
sure	sure	JJ	4511
along	along	IN	4497
political	political	JJ	4467
line	line	NN	4453
later	later	RB	4445
night	night	NN	4443
likely	likely	JJ	4435
i	i	NNP	4422
getting	get	VBG	4403
federal	federal	JJ	4381
problem	problem	NN	4369
al	al	NN	4367
death	death	NN	4345
available	available	JJ	4344
took	take	VBD	4328
doing	do	VBG	4310
power	power	NN	4309
let	let	VB	4303
com	com	NN	4302
treatment	treatment	NN	4286
give	give	VB	4274
news	news	NN	4271
trying	try	VBG	4271
history	history	NN	4260
additional	additional	JJ	4254
season	season	NN	4244
hours	hour	NNS	4242
question	question	NN	4233
thus	thus	RB	4227
members	member	NNS	4224
law	law	NN	4217
america	america	NNP	4205
activity	activity	NN	4197
come	come	VB	4194
school	school	NN	4193
companies	company	NNS	4190
able	able	JJ	4182
word	word	NN	4170
evidence	evidence	NN	4158
proteins	protein	NNS	4146
nothing	nothing	NN	4137
dna	dna	NNP	4132
idea	idea	NN	4112
get	get	VBP	4111
role	role	NN	4105
whole	whole	JJ	4104
look	look	VB	4080
found	find	VBN	4078
order	order	NN	4051
paper	paper	NN	4039
changes	change	NNS	4004
age	age	NN	3982
months	month	NNS	3982
health	health	NN	3980
together	together	RB	3977
sense	sense	NN	3972
m	m	NNP	3968
response	response	NN	3966
cases	case	NNS	3966
single	single	JJ	3960
model	model	NN	3956
table	table	NNP	3950
local	local	JJ	3942
n	n	NNP	3925
men	man	NNS	3913
pretty	pretty	RB	3902
used	use	VBD	3902
across	across	IN	3895
current	current	JJ	3889
groups	group	NNS	3889
legal	legal	JJ	3883
saying	say	VBG	3882
rate	rate	NN	3868
side	side	NN	3855
instead	instead	RB	3844
process	process	NN	3835
american	american	NNP	3821
service	service	NNP	3820
national	national	NNP	3814
past	past	JJ	3798
less	less	RBR	3798
whose	whose	WP$	3796
sequences	sequence	NNS	3773
former	former	JJ	3770
risk	risk	NN	3766
specific	specific	JJ	3761
news	news	NNP	3761
anyone	anyone	NN	3752
present	present	JJ	3751
issue	issue	NN	3749
area	area	NN	3744
officials	official	NNS	3738
perhaps	perhap	RB	3738
test	test	NN	3727
off	off	IN	3725
higher	higher	JJR	3721
spike	spike	NNP	3713
told	tell	VBD	3697
job	job	NN	3686
english	english	NNP	3681
head	head	NN	3680
per	per	IN	3679
person	person	NN	3679
m	m	NN	3675
development	development	NN	3667
l	l	NNP	3666
addition	addition	NN	3658
house	house	NN	3654
especially	especially	RB	3653
reports	report	NNS	3652
true	true	JJ	3644
e	e	SYM	3632
else	else	RB	3631
everyone	everyone	NN	3624
movie	movie	NN	3598
following	follow	VBG	3598
himself	himself	PRP	3585
room	room	NN	3578
growth	growth	NN	3554
low	low	JJ	3544
stock	stock	NN	3544
care	care	NN	3540
value	value	NN	3540
total	total	JJ	3532
office	office	NN	3526
type	type	NN	3510
use	use	VB	3508
yes	ye	UH	3506
associated	associate	VBN	3505
cost	cost	NN	3502
national	national	JJ	3495
keep	keep	VB	3493
tell	tell	VB	3492
taken	take	VBN	3489
called	call	VBN	3467
post	post	NNP	3438
reason	reason	NN	3434
general	general	JJ	3429
recently	recently	RB	3424
called	call	VBD	3423
set	set	VBN	3410
region	region	NN	3404
either	either	CC	3401
free	free	JJ	3393
de	de	IN	3384
world	world	NNP	3384
cd	cd	NNP	3381
young	young	JJ	3380
hard	hard	JJ	3377
want	want	VB	3368
looking	look	VBG	3351
nyt	nyt	NNP	3350
minutes	minute	NNS	3346
above	above	IN	3336
effects	effect	NNS	3334
means	mean	VBZ	3329
team	team	NN	3324
final	final	JJ	3321
town	town	NN	3313
hand	hand	NN	3311
programs	program	NNS	3290
work	work	VB	3287
congress	congress	NNP	3281
services	service	NNS	3278
interest	interest	NN	3272
white	white	NNP	3267
itself	itself	PRP	3260
july	july	NNP	3252
up	up	IN	3246
financial	financial	JJ	3242
century	century	NN	3236
research	research	NN	3233
saw	see	VBD	3225
mm	mm	NN	3221
support	support	NN	3217
disease	disease	NN	3214
ii	ius	NNP	3207
provide	provide	VB	3194
black	black	JJ	3189
function	function	NN	3189
plan	plan	NN	3186
b	b	SYM	3179
blood	blood	NN	3166
problems	problem	NNS	3157
full	full	JJ	3155
quite	quite	RB	3155
h	h	NNP	3151
therefore	therefore	RB	3151
street	street	NNP	3145
working	work	VBG	3144
interview	interview	NN	3137
questions	question	NNS	3106
showed	show	VBD	3102
love	love	NN	3097
no	no	UH	3088
war	war	NN	3086
cancer	cancer	NN	3081
compared	compare	VBN	3076
change	change	NN	3075
common	common	JJ	3074
white	white	JJ	3070
bit	bit	NN	3062
weeks	week	NNS	3062
clear	clear	JJ	3059
comes	come	VBZ	3051
security	security	NN	3050
values	value	NNS	3047
woman	woman	NN	3044
taking	take	VBG	3042
form	form	NN	3019
stuff	stuff	NN	3015
